,Name,Longitude,Latitude,CO2 (mg C m¯² d¯¹),CH4 (mg C m-2 d-1),CO2 (g/kWh),CH4 (g/kWh),Area / Electricity,Area,Age,Erosion,Tmax,Tmean,Tmin,Volume,Volume / Area,orgC,NPP
144,Waneta,-117.6166667,49.08333333,-127.9,38.8,NA,0.234552719,0.012421589,20,20,7.678626144,27.7,7.3,-7.5,NA,NA,1.022500038,458.3114929
145,Whatshan,-116.1,49.08333333,182.7,NA,NA,NA,NA,15,40,0.100998504,23.8,3.7,-11.5,NA,NA,3.335999966,477.708313
146,Whatshan,-116.1,49.08333333,-1.4,5.8,NA,NA,NA,15,51,0.100998504,23.8,3.7,-11.5,NA,NA,3.335999966,477.708313
147,Williston-Finlay,-124.1666667,56.16666667,192,NA,NA,NA,NA,1660,41,0.052959469,21.5,1.5,-18.8,70.3,0.042349398,3.86500001,18.73086532
148,Williston-Parsnip,-123.6,55.81666667,479.5,NA,87.14802691,NA,0.135801527,1779,33,2.004774515,20.2,0.7,-18,70.3,0.039516582,1.898000002,486.305603
149,Williston-Peace,-123.3166667,56.11666667,250.9,NA,214.8006949,NA,0.639691715,1660,23,0.063583817,18,-1.2,-19.3,70.3,0.042349398,1.200000048,452.8528137
150,Wohlen,7.316666667,49.96666667,287.2,1.6,9.609233333,0.019466667,0.025,4,86,0.113153317,20.4,7.9,-2.9,0,0,1.493000004,607.1895142
151,XingÃ³,-37.78333333,-9.616666667,1636.4,121,6.816564818,0.183285781,0.003112518,60,10,35.40328286,32.3,25.5,18.7,0.7,0.011666667,0.66049999,607.0720825
152,XingÃ³,-37.78333333,-9.616666667,2682.8,NA,11.17543394,NA,0.003112518,60,10,35.40328286,32.3,25.5,18.7,0.7,0.011666667,0.66049999,607.0720825
153,Zeuzier,7.433333333,46.35,NA,0.1,NA,0.000202778,0.004166667,1,49,0.579717661,12.2,0.4,-10,0.1,0.1,1.465000033,482.1453857
154,"Ã…ngerman River (grand, average)",14.93333333,64.59861111,30.8,NA,NA,NA,NA,854,70,3.28606991,16.2,1,-12.8,NA,NA,8.576146126,380.741394
